Campaign,Ad Group,Type,Keyword,Match Type,Max CPC,Final URL,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Daily Budget,Bid Strategy,Target CPA
Brand Defense,AO Brand,SEARCH,[ao ai solutions],Exact,2.00,https://aoaisolutions.dev/ai-audit,AO AI Solutions,AI-Powered Business Systems,Free AI Audit — DC Area,Washington DC AI Company,See Our Results,,,,,,,,,,,AI websites + lead automation for DC businesses. Book a free 30-min audit.,See exactly how much revenue you're leaving on the table. No pitch. Results in 24 hrs.,,,$5.00,Target CPA,$75.00
Brand Defense,AO Brand,SEARCH,[aoaisolutions],Exact,2.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$5.00,Target CPA,$75.00
Brand Defense,AO Brand,SEARCH,[aoaisolutions.dev],Exact,2.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$5.00,Target CPA,$75.00
AI Website DC,AI Website General,SEARCH,[ai website company washington dc],Exact,8.00,https://aoaisolutions.dev/ai-audit,AI Website Company DC,AI-Powered Websites — DC Area,Free AI Audit — See Your ROI,DC's #1 AI Web Agency,Get AI Website in 48 Hours,Lead Capture Runs 24/7,No More Missed Leads,DC Business AI Systems,Convert More Website Visitors,AI Chatbot + Lead Automation,Proven DC Results,Book Free 30-Min Audit,AI Website for Law Firms,AI Website for Medical Practices,Results in 48 Hours,"Get an AI-powered website that captures leads, follows up automatically, and runs 24/7. Free audit.","DC businesses using our AI systems see 3x more lead capture. Book a free 30-minute audit today.","We build AI websites, chatbots, and automation for DC professionals. See results in 48 hours.","No pitch — just a 30-minute session showing exactly what AI can do for your business. Book now.",$12.00,Target CPA,$75.00
AI Website DC,AI Website General,SEARCH,"ai powered website washington dc",Phrase,7.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$12.00,Target CPA,$75.00
AI Website DC,AI Website General,SEARCH,[ai website builder dc],Exact,6.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$12.00,Target CPA,$75.00
AI Website DC,AI Website General,SEARCH,"intelligent website dc",Phrase,6.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$12.00,Target CPA,$75.00
AI Website DC,AI Website General,SEARCH,[ai chatbot for business dc],Exact,7.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$12.00,Target CPA,$75.00
AI Website DC,AI Website General,SEARCH,"business automation washington dc",Phrase,7.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$12.00,Target CPA,$75.00
AI Website DC,AI Website General,SEARCH,[ai lead generation dc],Exact,8.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$12.00,Target CPA,$75.00
AI Website DC,AI Website General,SEARCH,"lead automation software dc",Phrase,7.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$12.00,Target CPA,$75.00
AI Website DC,AI Website General,SEARCH,[crm automation washington dc],Exact,6.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$12.00,Target CPA,$75.00
AI Website DC,AI Website General,SEARCH,"ai business systems dc",Phrase,7.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$12.00,Target CPA,$75.00
AI Website DC,AI Website General,SEARCH,[ai consultant washington dc],Exact,6.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$12.00,Target CPA,$75.00
AI Website DC,AI Website General,SEARCH,"automate my business dc",Phrase,6.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$12.00,Target CPA,$75.00
AI Website DC,AI Website General,SEARCH,[small business ai tools dc],Exact,5.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$12.00,Target CPA,$75.00
AI Website DC,AI Website General,SEARCH,"ai for small business washington dc",Phrase,5.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$12.00,Target CPA,$75.00
